,Year,Total Population,Males with AUD,Females with AUD,Total AUD Cases,"Rate per 100,000"
0,1990,788501,10242.845,3697.251,13940.096,1767.9236931849166
1,1991,799067,10305.23,3769.6492,14074.8792,1761.4141492515646
2,1992,810435,10383.217,3845.4917,14228.708700000001,1755.6878343112032
3,1993,825993,10482.901,3922.5322,14405.4332,1744.0139565347406
4,1994,844452,10609.434,3999.6504,14609.0844,1730.0076736155518
5,1995,862419,10769.335,4076.4373,14845.772299999999,1721.4106252297315
6,1996,880064,10975.873,4155.7197,15131.5927,1719.3741250636317
7,1997,897476,11223.971,4239.339,15463.31,1722.9775503746062
8,1998,914667,11499.99,4327.213,15827.203,1730.378706130209
9,1999,931612,11789.066,4419.717,16208.783,1739.8641279846115
10,2000,948238,12073.731,4517.755,16591.486,1749.7174759923141
11,2001,964838,12360.316,4617.6216,16977.9376,1759.6671772877937
12,2002,982202,12669.7295,4719.507,17389.2365,1770.4338313300113
13,2003,1000355,13001.694,4827.621,17829.315,1782.298783931704
14,2004,1018688,13355.388,4947.2344,18302.6224,1796.6857762141105
15,2005,1037070,13727.188,5083.938,18811.126,1813.8723519145285
16,2006,1055445,14109.737,5236.7705,19346.5075,1833.0190109385142
17,2007,1073875,14495.173,5397.158,19892.331000000002,1852.3879408683508
18,2008,1092402,14878.999,5559.2905,20438.2895,1870.9494764747776
19,2009,1110979,15259.771,5717.9863,20977.7573,1888.2226666750676
20,2010,1129693,15634.092,5867.1953,21501.2873,1903.2858750120606
21,2011,1145090,15968.551,5980.875,21949.426,1916.8297688391308
22,2012,1156556,16236.604,6046.443,22283.047,1926.6725519559795
23,2013,1166972,16454.885,6082.4272,22537.3122,1931.26417771806
24,2014,1176997,16644.275,6109.558,22753.833000000002,1933.2107898320899
25,2015,1187286,16829.965,6151.43,22981.395,1935.624188274771
26,2016,1197889,16955.006,6205.5,23160.506,1933.4434158757617
27,2017,1208527,17069.838,6263.341,23333.179,1930.7122637723444
28,2018,1218834,17373.87,6407.2363,23781.1063,1951.1357822312145
29,2019,1228840,17858.387,6655.5894,24513.9764,1994.8875687640377
